Customer ID,Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_Score,Segment
12346.0,126,11,372.86,2,5,2,252,At Risk
12348.0,34,1,222.16,3,1,1,311,Need Attention
12349.0,4,3,2671.14,5,3,5,535,Need Attention
12353.0,5,1,317.76,5,1,2,512,New Customers
12355.0,164,1,488.21000000000004,2,1,3,213,Lost
12356.0,21,1,910.44,4,1,4,414,New Customers
12358.0,147,2,1697.93,2,2,4,224,Lost
12359.0,22,6,2563.36,4,5,5,455,Champions
12360.0,160,3,780.04,2,3,3,233,Need Attention
12361.0,58,3,321.35,3,3,2,332,Potential Loyalists
12362.0,335,1,130.0,1,1,1,111,Lost
12366.0,230,1,500.24,1,1,3,113,Lost
12368.0,224,1,917.6999999999999,1,1,4,114,Lost
12369.0,10,3,1791.15,5,3,4,534,Need Attention
12370.0,221,3,774.62,1,3,3,133,Need Attention
12371.0,6,3,2179.42,5,3,5,535,Need Attention
12373.0,221,2,763.0500000000001,1,2,3,123,Lost
12374.0,18,3,2246.29,4,3,5,435,Need Attention
12376.0,14,1,432.55,5,1,2,512,New Customers
12377.0,185,1,1210.96,1,1,4,114,Lost
12378.0,158,1,1407.7,2,1,4,214,Lost
12379.0,18,2,767.98,4,2,3,423,New Customers
12380.0,61,7,6951.49,3,5,5,355,Loyal Customers
12387.0,11,1,143.94,5,1,1,511,New Customers
12388.0,42,2,1120.45,3,2,4,324,Need Attention
12389.0,163,2,563.03,2,2,3,223,Lost
12391.0,61,5,2312.53,3,4,5,345,Loyal Customers
12392.0,187,1,234.75000000000003,1,1,1,111,Lost
12393.0,25,1,303.8,4,1,2,412,New Customers
12395.0,3,3,1702.54,5,3,4,534,Need Attention
12396.0,271,1,931.43,1,1,4,114,Lost
12399.0,116,2,539.45,2,2,3,223,Lost
12400.0,11,1,205.25,5,1,1,511,New Customers
12402.0,47,4,875.65,3,4,3,343,Loyal Customers
12403.0,118,1,591.6600000000001,2,1,3,213,Lost
12404.0,278,1,63.24,1,1,1,111,Lost
12406.0,192,2,1629.2,1,2,4,124,Lost
12408.0,47,2,509.15999999999997,3,2,3,323,Need Attention
12409.0,17,4,12346.619999999999,4,4,5,445,Champions
12410.0,99,1,320.38,2,1,2,212,Lost
12411.0,6,1,346.9,5,1,2,512,New Customers
12412.0,83,2,1176.79,2,2,4,224,Lost
12414.0,60,3,390.0,3,3,2,332,Potential Loyalists
12415.0,11,5,2978.96,5,4,5,545,Champions
12416.0,253,1,202.56,1,1,1,111,Lost
12417.0,6,11,3167.81,5,5,5,555,Champions
12418.0,10,3,1352.62,5,3,4,534,Need Attention
12419.0,10,1,322.91,5,1,2,512,New Customers
12421.0,11,2,291.56,5,2,2,522,New Customers
12422.0,3,13,4058.29,5,5,5,555,Champions
12423.0,62,1,298.8,3,1,2,312,Need Attention
12424.0,19,2,1579.07,4,2,4,424,New Customers
12425.0,44,1,964.21,3,1,4,314,Need Attention
12426.0,259,1,762.48,1,1,3,113,Lost
12429.0,37,4,2454.01,3,4,5,345,Loyal Customers
12431.0,6,12,4012.27,5,5,5,555,Champions
12433.0,46,2,1126.09,3,2,4,324,Need Attention
12435.0,73,3,3575.2,3,3,5,335,Potential Loyalists
12437.0,17,18,6978.58,4,5,5,455,Champions
12439.0,279,2,1158.18,1,2,4,124,Lost
12440.0,59,2,859.2,3,2,3,323,Need Attention
12443.0,328,1,485.31,1,1,3,113,Lost
12445.0,17,1,301.58000000000004,4,1,2,412,New Customers
12449.0,7,2,768.6,5,2,3,523,New Customers
12450.0,48,2,254.02,3,2,2,322,Need Attention
12451.0,59,3,3634.36,3,3,5,335,Potential Loyalists
12454.0,13,3,9052.48,5,3,5,535,Need Attention
12455.0,41,4,3413.09,3,4,5,345,Loyal Customers
12457.0,31,1,632.68,4,1,3,413,New Customers
12458.0,24,2,830.09,4,2,3,423,New Customers
12459.0,201,1,454.36,1,1,2,112,Lost
12460.0,53,1,326.65,3,1,2,312,Need Attention
12466.0,278,1,56.73,1,1,1,111,Lost
12467.0,19,1,132.8,4,1,1,411,New Customers
12468.0,123,3,2941.2,2,3,5,235,Need Attention
12469.0,119,2,3070.54,2,2,5,225,Lost
12470.0,286,1,211.95,1,1,1,111,Lost
12471.0,18,43,16228.74,4,5,5,455,Champions
12472.0,32,11,8383.59,4,5,5,455,Champions
12474.0,5,11,4142.98,5,5,5,555,Champions
12475.0,6,1,426.26,5,1,2,512,New Customers
12476.0,13,8,4487.4,5,5,5,555,Champions
12477.0,122,2,4485.86,2,2,5,225,Lost
12480.0,24,2,1464.05,4,2,4,424,New Customers
12481.0,7,4,5766.83,5,4,5,545,Champions
12482.0,172,29,23691.4,2,5,5,255,At Risk
12483.0,33,8,1885.9,4,5,4,454,Champions
12484.0,80,6,1828.43,2,5,4,254,At Risk
12485.0,125,1,708.1,2,1,3,213,Lost
12486.0,28,1,1037.28,4,1,4,414,New Customers
12487.0,327,1,285.29999999999995,1,1,2,112,Lost
12490.0,28,10,3864.05,4,5,5,455,Champions
12494.0,8,2,569.17,5,2,3,523,New Customers
12495.0,237,1,357.4,1,1,2,112,Lost
12496.0,216,2,54.09,1,2,1,121,Lost
12497.0,241,1,1211.76,1,1,4,114,Lost
12499.0,156,1,393.72,2,1,2,212,Lost
12500.0,31,8,1697.39,4,5,4,454,Champions
12503.0,180,1,1126.0,1,1,4,114,Lost
12504.0,13,2,297.0,5,2,2,522,New Customers
12505.0,5,1,955.2,5,1,4,514,New Customers
12507.0,181,1,539.25,1,1,3,113,Lost
12510.0,55,7,4195.45,3,5,5,355,Loyal Customers
12511.0,25,1,3084.02,4,1,5,415,New Customers
12514.0,238,1,580.08,1,1,3,113,Lost
12516.0,27,2,1336.56,4,2,4,424,New Customers
12519.0,73,1,385.7,3,1,2,312,Need Attention
12523.0,12,10,2457.05,5,5,5,555,Champions
12524.0,6,8,5874.49,5,5,5,555,Champions
12525.0,94,3,973.73,2,3,4,234,Need Attention
12527.0,91,2,386.8,2,2,2,222,Lost
12529.0,125,1,316.48,2,1,2,212,Lost
12530.0,11,5,2096.98,5,4,5,545,Champions
12531.0,282,1,1807.98,1,1,4,114,Lost
12533.0,224,2,1367.89,1,2,4,124,Lost
12537.0,5,1,732.94,5,1,3,513,New Customers
12539.0,47,3,5646.400000000001,3,3,5,335,Potential Loyalists
12540.0,19,14,7761.25,4,5,5,455,Champions
12542.0,80,2,481.88,2,2,3,223,Lost
12543.0,44,1,980.25,3,1,4,314,Need Attention
12547.0,97,1,175.78,2,1,1,211,Lost
12549.0,172,6,1575.68,2,5,4,254,At Risk
12553.0,20,1,537.99,4,1,3,413,New Customers
12554.0,45,1,468.5,3,1,3,313,Need Attention
12555.0,278,1,129.23,1,1,1,111,Lost
12557.0,29,3,6105.18,4,3,5,435,Need Attention
12562.0,32,1,426.0,4,1,2,412,New Customers
12563.0,5,1,249.24,5,1,2,512,New Customers
12567.0,84,4,1976.9,2,4,5,245,At Risk
12568.0,241,1,70.0,1,1,1,111,Lost
12570.0,278,1,77.52,1,1,1,111,Lost
12573.0,21,2,317.48,4,2,2,422,New Customers
12575.0,54,2,622.8199999999999,3,2,3,323,Need Attention
12576.0,55,2,555.62,3,2,3,323,Need Attention
12577.0,6,3,667.42,5,3,3,533,Need Attention
12578.0,40,1,1011.86,3,1,4,314,Need Attention
12580.0,173,1,637.2,2,1,3,213,Lost
12582.0,19,2,1469.04,4,2,4,424,New Customers
12583.0,28,10,5211.95,4,5,5,455,Champions
12586.0,11,2,1049.4,5,2,4,524,New Customers
12588.0,194,1,328.9,1,1,2,112,Lost
12589.0,18,6,4048.98,4,5,5,455,Champions
12591.0,5,1,698.15,5,1,3,513,New Customers
12592.0,115,3,2145.06,2,3,5,235,Need Attention
12594.0,12,4,1456.69,5,4,4,544,Champions
12595.0,101,1,299.02,2,1,2,212,Lost
12598.0,59,3,1511.01,3,3,4,334,Potential Loyalists
12599.0,20,4,900.86,4,4,3,443,Champions
12600.0,29,9,1956.73,4,5,4,454,Champions
12601.0,1,1,104.19999999999999,5,1,1,511,New Customers
12605.0,19,2,758.91,4,2,3,423,New Customers
12606.0,278,1,21.0,1,1,1,111,Lost
12608.0,1,1,415.79,5,1,2,512,New Customers
12609.0,31,5,1856.46,4,4,4,444,Champions
12613.0,75,4,3040.55,3,4,5,345,Loyal Customers
12615.0,10,4,3449.79,5,4,5,545,Champions
12619.0,157,1,140.14,2,1,1,211,Lost
12621.0,10,12,7773.22,5,5,5,555,Champions
12623.0,13,6,3442.7400000000002,5,5,5,555,Champions
12625.0,105,2,2481.06,2,2,5,225,Lost
12629.0,19,1,704.36,4,1,3,413,New Customers
12631.0,52,5,2841.07,3,4,5,345,Loyal Customers
12632.0,117,2,804.88,2,2,3,223,Lost
12633.0,87,2,2905.48,2,2,5,225,Lost
12634.0,132,2,490.0,2,2,3,223,Lost
12635.0,53,1,731.33,3,1,3,313,Need Attention
12636.0,335,1,141.0,1,1,1,111,Lost
12637.0,96,2,913.79,2,2,4,224,Lost
12638.0,236,1,249.8,1,1,2,112,Lost
12639.0,31,2,826.27,4,2,3,423,New Customers
12643.0,11,5,3180.7000000000003,5,4,5,545,Champions
12644.0,27,3,1440.58,4,3,4,434,Need Attention
12645.0,5,4,1764.12,5,4,4,544,Champions
12647.0,20,22,12027.63,4,5,5,455,Champions
12648.0,34,3,793.95,3,3,3,333,Potential Loyalists
12649.0,20,4,1175.3999999999999,4,4,4,444,Champions
12651.0,3,2,164.45,5,2,1,521,New Customers
12652.0,30,1,97.05000000000001,4,1,1,411,New Customers
12653.0,123,1,1950.98,2,1,4,214,Lost
